         1695706883 function calls (1695706344 primitive calls) in 1321.622 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      218    0.002    0.000    0.002    0.000 linalg.py:2363(norm)
       70    0.000    0.000    0.002    0.000 fromnumeric.py:2046(clip)
       19    0.000    0.000    0.002    0.000 re.py:288(_compile)
        6    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:950(get_code)
      463    0.002    0.000    0.002    0.000 {method 'Allreduce' of 'mpi4py.MPI.Comm' objects}
       16    0.000    0.000    0.002    0.000 drivers.py:1081(exci)
      312    0.002    0.000    0.002    0.000 {method 'Allgatherv' of 'mpi4py.MPI.Comm' objects}
       16    0.000    0.000    0.002    0.000 re.py:249(compile)
     7878    0.002    0.000    0.002    0.000 {method 'split' of 'str' objects}
        7    0.000    0.000    0.002    0.000 sre_compile.py:783(compile)
       16    0.000    0.000    0.002    0.000 drivers.py:1076(N_orb)
       70    0.000    0.000    0.002    0.000 {method 'clip' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.002    0.002 io.py:93(load_wf)
       70    0.000    0.000    0.002    0.000 _methods.py:125(_clip)
      872    0.001    0.000    0.002    0.000 <__array_function__ internals>:2(ndim)
     5124    0.002    0.000    0.002    0.000 numerictypes.py:584(<listcomp>)
     7195    0.002    0.000    0.002    0.000 {built-in method math.isqrt}
        6    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:670(_compile_bytecode)
        2    0.001    0.001    0.001    0.001 {built-in method io.open}
        1    0.000    0.000    0.001    0.001 bz2.py:1(<module>)
        6    0.001    0.000    0.001    0.000 {built-in method marshal.loads}
      140    0.001    0.000    0.001    0.000 _methods.py:91(_clip_dep_is_scalar_nan)
        1    0.000    0.000    0.001    0.001 locale.py:1(<module>)
        9    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:921(_find_spec)
        8    0.000    0.000    0.001    0.000 drivers.py:1387(N_orb)
        4    0.000    0.000    0.001    0.000 glob.py:13(glob)
        7    0.000    0.000    0.001    0.000 sre_parse.py:944(parse)
        8    0.000    0.000    0.001    0.000 glob.py:53(_iglob)
      369    0.000    0.000    0.001    0.000 <__array_function__ internals>:2(inner)
      377    0.000    0.000    0.001    0.000 <__array_function__ internals>:2(copy)
        4    0.000    0.000    0.001    0.000 glob.py:177(_lexists)
        4    0.000    0.000    0.001    0.000 posixpath.py:174(lexists)
     13/7    0.000    0.000    0.001    0.000 sre_parse.py:436(_parse_sub)
        4    0.001    0.000    0.001    0.000 {built-in method posix.lstat}
       24    0.000    0.000    0.001    0.000 drivers.py:1824(__init__)
        8    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1431(find_spec)
        8    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1399(_get_spec)
        9    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:564(module_from_spec)
     14/8    0.000    0.000    0.001    0.000 sre_parse.py:494(_parse)
       18    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1536(find_spec)
        7    0.000    0.000    0.001    0.000 sre_compile.py:622(_code)
        3    0.000    0.000    0.001    0.000 argparse.py:1322(__init__)
        1    0.001    0.001    0.001    0.001 {method 'close' of '_io.TextIOWrapper' objects}
        7    0.001    0.000    0.001    0.000 {method '__exit__' of '_io._IOBase' objects}
      872    0.001    0.000    0.001    0.000 fromnumeric.py:3127(ndim)
        2    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1174(create_module)
        2    0.001    0.000    0.001    0.000 {built-in method _imp.create_dynamic}
        6    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1070(get_data)
        1    0.000    0.000    0.001    0.001 lzma.py:1(<module>)
     3344    0.001    0.000    0.001    0.000 {built-in method builtins.isinstance}
     22/7    0.000    0.000    0.000    0.000 sre_compile.py:87(_compile)
        1    0.000    0.000    0.000    0.000 glob.py:1(<module>)
        8    0.000    0.000    0.000    0.000 drivers.py:2000(<listcomp>)
      377    0.000    0.000    0.000    0.000 function_base.py:726(copy)
       78    0.000    0.000    0.000    0.000 linalg.py:135(_commonType)
       11    0.000    0.000    0.000    0.000 {built-in method builtins.__build_class__}
